[6-20-2017/6:31:54 PM] - [Sir Ryan:STEAM_0:0:56323275] TRADED [$0] [1 credits] [] FOR [Childish Gambino:STEAM_0:0:51224495] [$35000] [0 credits] [tfa_ava_luger:1,tfa_ava_deagle:1]
[6-20-2017/6:44:43 PM] - [Sir Toast:STEAM_0:0:161146915] TRADED [$0] [0 credits] [] FOR [Bill Cozby:STEAM_0:0:20151212] [$0] [0 credits] [tfa_cso_balrog1:1]
[6-20-2017/7:9:34 PM] - [Mr Hankey:STEAM_0:1:25091329] TRADED [$0] [0 credits] [] FOR [Bill Cozby:STEAM_0:0:20151212] [$0] [0 credits] []
[6-20-2017/7:10:3 PM] - [Mr Hankey:STEAM_0:1:25091329] TRADED [$0] [0 credits] [] FOR [Bill Cozby:STEAM_0:0:20151212] [$4000] [0 credits] []
[6-20-2017/7:12:18 PM] - [Jeffrey Dahmer:STEAM_0:0:111814451] TRADED [$14000] [0 credits] [] FOR [Wickey Sicknasty:STEAM_0:1:42675047] [$0] [0 credits] []
[6-20-2017/7:17:14 PM] - [Brandon Lilmeat:STEAM_0:1:55551008] TRADED [$3000] [0 credits] [] FOR [Solid Mcslapper:STEAM_0:0:72321188] [$0] [0 credits] []
[6-20-2017/7:25:48 PM] - [Church Nlggerson:STEAM_0:0:170276835] TRADED [$0] [0 credits] [tfcss_ak47:3,tfcss_xm1014:2] FOR [Wickey Sicknasty:STEAM_0:1:42675047] [$15000] [0 credits] []
[6-20-2017/7:26:3 PM] - [Brandon Lilmeat:STEAM_0:1:55551008] TRADED [$0] [0 credits] [] FOR [Solid Mcslapper:STEAM_0:0:72321188] [$0] [0 credits] [tfcss_ak47:1]
[6-20-2017/7:39:42 PM] - [Brandon Lilmeat:STEAM_0:1:55551008] TRADED [$0] [0 credits] [] FOR [Solid Mcslapper:STEAM_0:0:72321188] [$3000] [0 credits] []
[6-20-2017/7:50:55 PM] - [Mastian Slavchenko:STEAM_0:0:99008860] TRADED [$0] [0 credits] [] FOR [Ocean Man:STEAM_0:1:80574421] [$540] [0 credits] []
[6-20-2017/8:26:19 PM] - [Bob Dill:STEAM_0:1:63015634] TRADED [$0] [0 credits] [ent_beer:1] FOR [Ocean Man:STEAM_0:1:80574421] [$249] [0 credits] []
[6-20-2017/9:24:44 PM] - [Mastian Slavchenko:STEAM_0:0:99008860] TRADED [$0] [0 credits] [] FOR [Nicoli Reznov:STEAM_0:0:47152858] [$9600] [0 credits] []
[6-20-2017/9:32:4 PM] - [Luke Garcia:STEAM_0:1:93301558] TRADED [$0] [0 credits] [] FOR [Fiji Prime:STEAM_0:0:210858139] [$5000] [0 credits] []
[6-20-2017/10:38:4 PM] - [Swag Mcgavin:STEAM_0:0:10711520] TRADED [$400000] [0 credits] [] FOR [Ocean Man:STEAM_0:1:80574421] [$0] [0 credits] [rp_uber_ghoster:1]
[6-20-2017/11:26:43 PM] - [John Cooper:STEAM_0:1:56905722] TRADED [$300000] [0 credits] [] FOR [Lamelo Ball:STEAM_0:0:33958300] [$0] [1 credits] []
